Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
nc,71993011,0,"Friday, May 17, 2013 14:31:29 UTC",38.8395,-122.7818,1.0,1.80,12,"Northern California"
ci,15344921,2,"Friday, May 17, 2013 14:29:31 UTC",32.6488,-115.7513,1.8,7.00,13,"Southern California"
nc,71993001,3,"Friday, May 17, 2013 14:16:25 UTC",36.5550,-121.0865,2.2,9.80,49,"Central California"
ak,10718943,1,"Friday, May 17, 2013 13:58:20 UTC",62.0517,-152.1551,2.4,161.30,14,"Central Alaska"
us,b000gxnf,8,"Friday, May 17, 2013 13:53:55 UTC",45.7272,-76.3285,3.6,5.00,21,"southern Ontario, Canada"
ci,15344905,4,"Friday, May 17, 2013 13:47:19 UTC",33.2075,-115.5532,1.2,4.40,13,"Southern California"
us,b000gxna,7,"Friday, May 17, 2013 13:43:22 UTC",45.7670,-76.3965,4.4,9.80,180,"southern Ontario, Canada"
nc,71992991,0,"Friday, May 17, 2013 13:38:49 UTC",38.8402,-122.7810,1.0,1.80,12,"Northern California"
ci,15344897,6,"Friday, May 17, 2013 13:33:44 UTC",33.2083,-115.5498,1.4,2.30,21,"Southern California"
pr,13137003,0,"Friday, May 17, 2013 13:33:17 UTC",18.4965,-67.4115,2.6,17.00,16,"Mona Passage, Puerto Rico"
ci,15344889,2,"Friday, May 17, 2013 12:57:37 UTC",34.2445,-116.4317,1.3,0.80,14,"Southern California"
ci,15344881,2,"Friday, May 17, 2013 12:49:48 UTC",35.4580,-118.7793,1.5,13.60, 8,"Central California"
ci,15344873,2,"Friday, May 17, 2013 12:46:03 UTC",34.2477,-116.4267,1.7,0.10,46,"Southern California"
mb,13197352,2,"Friday, May 17, 2013 12:40:59 UTC",44.5776,-112.7456,1.1,9.40,13,"western Montana"
nc,71992986,2,"Friday, May 17, 2013 12:40:25 UTC",36.5533,-121.0853,1.0,9.50,16,"Central California"
ci,15344865,2,"Friday, May 17, 2013 12:25:08 UTC",33.5530,-116.4873,1.2,20.10,15,"Southern California"
nc,71992981,3,"Friday, May 17, 2013 12:20:27 UTC",40.1593,-123.8680,1.7,23.10,20,"Northern California"
ci,15344857,4,"Friday, May 17, 2013 12:15:15 UTC",33.2093,-115.5573,1.0,1.50, 9,"Southern California"
ci,15344849,4,"Friday, May 17, 2013 12:14:59 UTC",33.2193,-115.5532,1.2,2.50,13,"Southern California"
ci,15344841,4,"Friday, May 17, 2013 12:05:34 UTC",33.2050,-115.5497,1.0,2.50,14,"Southern California"
ci,15344833,4,"Friday, May 17, 2013 12:03:04 UTC",33.2143,-115.5510,1.1,1.90,13,"Southern California"
nc,71992971,2,"Friday, May 17, 2013 11:53:24 UTC",40.3715,-121.7340,1.7,8.80,20,"Northern California"
mb,13808610,2,"Friday, May 17, 2013 11:44:15 UTC",46.9401,-113.3086,2.8,11.60,47,"western Montana"
us,b000gxm5,3,"Friday, May 17, 2013 11:14:41 UTC",-20.7927,-178.7478,4.7,595.50,72,"Fiji region"
nc,71992956,0,"Friday, May 17, 2013 11:11:39 UTC",39.8560,-123.6475,1.9,4.10,10,"Northern California"
nc,71992951,0,"Friday, May 17, 2013 11:11:14 UTC",39.8570,-123.6517,1.9,5.00,10,"Northern California"
ci,15344793,2,"Friday, May 17, 2013 10:40:59 UTC",33.9715,-116.2887,1.5,8.30,36,"Southern California"
ak,10718900,1,"Friday, May 17, 2013 10:33:33 UTC",63.0461,-150.8294,1.9,99.20,16,"Central Alaska"
ci,15344785,2,"Friday, May 17, 2013 10:24:01 UTC",34.2493,-116.4267,2.4,0.50,71,"Southern California"
ak,10718894,1,"Friday, May 17, 2013 10:10:27 UTC",63.1575,-150.6443,1.7,124.60,14,"Central Alaska"
